element	occurrence frequency
english	150
chinese	87
japanese	87
german	81
arabic	74
natural language	64
french	60
korean	59
spanish	57
hindi	39
portuguese	39
russian	35
indian languages	34
italian	31
mandarin chinese	31
basque	30
turkish	26
polish	25
czech	24
swedish	24
bulgarian	23
danish	18
dutch	17
mandarin	16
hungarian	14
brazilian portuguese	14
bengali	13
vietnamese	13
norwegian	13
latin	13
dialectal arabic	12
croatian	12
sanskrit	11
telugu	11
thai	11
hebrew	10
persian	9
romanian	9
finnish	9
urdu	9
marathi	8
prolog	8
serbian	8
bangla	8
latvian	8
modern greek	8
english and chinese	8
natural languages	8
learner english	8
modern standard arabic	7
sign language	7
irish	7
european portuguese	6
modern hebrew	6
icelandic	6
minority languages	6
malayalam	6
chinese language	5
american english	5
sinhala	5
tamil	5
american sign language	5
english and french	5
amharic	5
middle low german	4
afrikaans	4
maltese	4
welsh	4
german and english	4
gujarati	4
farsi	4
greek	4
cantonese	4
english and spanish	4
arabic dialects	4
wolof	4
chinese and japanese	4
from english	4
japanese and english	3
r	3
ancient greek	3
spoken japanese	3
an english	3
malayalam language	3
punjabi	3
shipibo-konibo	3
estonian	3
french and english	3
catalan and spanish	3
greece	3
tagalog	3
english and german	3
indic languages	3
filipino	3
standard arabic	3
spoken english	3
chintang	3
kannada	3
spoken french	3
swedish sign language	3
french language	3
japanese sign language	3
spontaneous japanese	3
hindi and telugu	2
romanian language	2
russian sign language	2
old french	2
arabic and hebrew	2
quranic arabic	2
chinese and english	2
written dutch	2
written french	2
persian language	2
basque language	2
egyptian arabic	2
medieval french	2
a punjabi	2
english metalanguage	2
english and portuguese	2
indonesian language	2
slavic languages	2
shahmukhi	2
arabic language	2
croatian and serbian	2
learner chinese	2
malagasy	2
informal arabic	2
english and japanese	2
spoken learner english	2
japanese dialects	2
english and hindi	2
gulf arabic	2
swiss german	2
korean and english	2
czech and english	2
occitan	2
wambaya	2
english and hungarian	2
english and arabic	2
breton	2
sindhi	2
oral french	2
spanish and french	2
dutch medical language	2
slovenian language	2
hindi language	2
spoken danish	2
hindi and marathi	2
french and italian	2
kanji	2
spoken dutch	2
dravidian languages	2
non-native english	2
spontaneous spoken french	2
slovenian	2
spoken estonian	2
palestinian arabic	2
quebec french	1
arabic language varieties and dialects	1
contemporary written japanese	1
chinese and japanese language	1
china english	1
portuguese sign language	1
scots and english	1
german and english treebanks and lexica	1
contemporary english	1
simplified technical spanish	1
bangla language	1
syriac and arabic	1
japan kanji	1
the reseda metalanguage	1
basic english	1
indian english	1
southern british english	1
learner hungarian	1
chukchi	1
english language	1
the english sublanguage	1
text-based sinhala	1
natural secret languages	1
basque and spanish	1
old hungarian	1
swedish and german	1
magahi and bhojpuri without even knowing the alphabet	1
both mainland mandarin and taiwan mandarin	1
hebrew and arabic	1
medical english	1
spanish and portuguese	1
contemporary portuguese	1
modern standard arabic and modern hebrew	1
german learner language	1
japanese learner english	1
african american vernacular english	1
bengali language	1
spoken korean	1
colloquial finnishto standard finnish	1
italian language	1
spoken brazilian portuguese	1
multicultural london english	1
spoken german	1
mandarin and hakka (????????????????????????)	1
german and dutch	1
regional american english	1
contemporary written czech	1
japanese spoken language	1
english and mandarin	1
cantonese and english	1
the romance languages	1
setswana	1
japanese students learning chinese	1
vedic sanskrit	1
spanish verb-noun combinations into basque	1
tunisian arabic	1
hindi and punjabi	1
english and russian languages	1
european french	1
a mandarin	1
spontaneous spoken czech	1
historical german	1
cebuano and tagalog	1
somali	1
syriac	1
controlled korean	1
casual czech	1
english and polish	1
australian english	1
erzya	1
chinese and korean	1
portuguese language	1
evenki	1
colloquial arabic	1
hong kong cantonese and taiwan mandarin	1
bulgarian language	1
english and hindi text	1
arabic gulf dialect	1
urdu language	1
malaysian language	1
russian and romanian languages	1
italian and spanish	1
mandarin and english	1
levantine arabic dialects	1
biomedical terms across languages	1
czech and german	1
finnish sign language	1
spoken czech	1
english and chinese text	1
spoken portuguese	1
romanised sanskrit	1
bulgarian and croatian	1
translate english	1
german and korean	1
chinese and spanish	1
clinical finnish	1
chinese into english	1
west african languages	1
contemporary hong kong cantonese	1
bengali and hindi	1
all greek	1
arabic and its dialects	1
written and spoken italian	1
user defined words m japanese	1
interactional spoken norwegian	1
cantonese chinese	1
japanese and chinese input method	1
distinguish mainland and taiwan chinese	1
english and basque	1
urdu and hindi	1
hong kong cantonese	1
magahi	1
early modern german	1
the morphologically rich and free phrase-order hungarian	1
african-american and mainstream american english	1
french and japanese	1
natural vs. precise concise languages	1
murrinh-patha	1
dialectical arabic	1
dutch and english	1
german and latin	1
classical portuguese	1
spoken turkish	1
venetan	1
chinese sign language	1
cypriot greek	1
gagauz	1
chinese mandarin	1
zero-shot north korean	1
odia	1
informal english	1
laz	1
early middle japanese	1
canadian english	1
persian and turkish	1
early modern dutch	1
bosnian serbo-croatian and british english	1
malay	1
printed arabic	1
dependency syntax and finnish	1
ancient accadian	1
wolaytta	1
nominalizations across chinese and british media english	1
english and german wikipedia	1
french and french belgian sign language	1
historical american english	1
mandarin chinese and cantonese	1
translated chinese	1
phrase-pattern-based korean	1
english and italian	1
portuguese and english	1
a syntactic grammar of english	1
from european portuguese	1
tamil language	1
turkish offensive language	1
indonesian ethnic languages	1
thai language	1
non-standard contemporary and diachronic balkan slavic	1
spanish and italian	1
japanese kanji	1
chinese and russian	1
learner spanish	1
hindi and arabic	1
automatic english	1
improved bengali	1
roman urdu	1
african-american english	1
arabic dialect	1
bhojpuri	1
mo piu	1
mediterranean languages	1
arabic and english	1
azerbaijani turkish	1
romanized dialectal arabic	1
second language french	1
simultaneous spoken turkish	1
written chinese	1
tikopia \& maori	1
written czech	1
british english	1
estonian and german	1
abui	1
odia language	1
the old czech	1
korean -(ul) kes i and mandarin chinese hui	1
philippine english	1
spoken slovenian	1
english and dutch	1
marathi and hindi	1
modern british english	1
konkani language	1
afrikaans and dutch	1
egyptian colloquial arabic	1
spoken standard german	1
contemporary hebrew	1
old czech	1
english and iraqi arabic	1
a dutch	1
mandarin and cantonese (non-archival extended abstract)	1
hiberno-english	1
odawa	1
the highly inflected agglutinative language hungarian	1
agglutinative languages like quechua and finnish	1
spoken cantonese and written chinese	1
vietnamese language	1
iberian languages	1
chinese and english (short paper)	1
old spanish	1
qatari arabic	1
hindi and english	1
american english and arabic	1
turkic languages	1
historical english	1
naija	1
emirati arabic	1
afrikaans language	1
sound natural	1
japanese and spanish	1
bulgarian and czech	1
korean ordinary language	1
latvian language	1
croatian and serbian verb aspect	1
rule-based breton	1
dravidian language	1
egyptian and levantine	1
moroccan and sanaani yemeni arabic	1
