element	occurrence frequency
machine translation	105
learning	70
domain adaptation	68
sentiment analysis	68
named entity recognition	67
statistical machine translation	66
word sense disambiguation	62
dependency parsing	56
active learning	53
deep learning	50
neural machine translation	49
unsupervised learning	49
a hybrid approach	48
classification	45
automatic extraction	45
multi-task learning	44
transfer learning	44
parsing	42
annotation	42
semantic role labeling	41
automatic detection	40
question answering	40
an evaluation	39
natural language processing	37
reinforcement learning	36
semantic parsing	36
extraction	36
automatic acquisition	35
automatic identification	35
development	35
coreference resolution	34
machine learning	34
construction	33
distant supervision	32
automatic generation	31
integration	30
introduction	28
relation extraction	28
semi-supervised learning	27
part-of-speech tagging	26
detection	25
automatic evaluation	25
a machine learning approach	24
the evaluation	23
multi-document summarization	23
quality estimation	22
crowdsourcing	22
joint learning	22
event extraction	22
a new approach	21
translation	21
language models	21
language modeling	21
distributional semantics	20
automatic construction	20
morphological analysis	20
a joint model	20
anaphora resolution	19
natural language generation	19
chinese word segmentation	19
grammatical error correction	19
recognition	19
an exploration	19
unsupervised induction	18
dealing	18
text classification	17
adversarial training	17
word alignment	17
a statistical approach	17
topic models	17
sentiment classification	17
a computational approach	16
summarization	16
joint inference	16
a computational model	16
semantic annotation	16
entity linking	16
the construction	15
data augmentation	15
prediction	15
authorship attribution	15
supervised learning	15
disambiguation	15
feature selection	14
irony detection	14
an investigation	14
probabilistic models	14
word sense induction	14
deep reinforcement learning	14
an empirical investigation	14
a bayesian model	14
attention	14
pos tagging	14
adaptation	14
a probabilistic model	14
semantics	13
online learning	13
the development	13
word segmentation	13
speech recognition	13
sequence labeling	13
text segmentation	13
clustering	12
coordination	12
induction	12
native language identification	12
syntactic analysis	12
topic modeling	12
a generative model	12
event detection	12
combination	12
automatic translation	12
abstract meaning representation	12
extractive summarization	12
reasoning	12
language identification	12
paraphrasing	11
amr parsing	11
transliteration	11
markov logic	11
integer linear programming	11
the semantics	11
identification	11
a maximum entropy approach	11
textual entailment	11
automatic classification	11
complex word identification	11
continuous speech recognition	11
information retrieval	11
neural language models	11
hyperpartisan news detection	10
metaphor detection	10
the annotation	10
efficient parsing	10
improving word alignment	10
improving statistical machine translation	10
transition-based dependency parsing	10
machine comprehension	10
models	10
document classification	10
muc-4 test results and analysis	10
a corpus-based approach	10
bilingual lexicon extraction	10
neural models	10
automatic annotation	10
joint modeling	10
coping	10
dual decomposition	10
relation classification	10
semantic tagging	10
emotion detection	10
query expansion	10
a proposal	10
ambiguity resolution	10
chinese named entity recognition	10
a method	9
semantic interpretation	9
an empirical evaluation	9
a statistical model	9
a rule-based approach	9
semantic classification	9
searching	9
dialogue management	9
robust parsing	9
incremental parsing	9
the creation	9
latent semantic analysis	9
segmentation	9
an unsupervised method	9
multitask learning	9
shallow semantic parsing	9
a gold standard	9
cross-lingual transfer	9
sentence compression	9
automatic prediction	9
co-training	9
maximum entropy models	9
analysis	9
imitation learning	9
automatic speech recognition	9
an experiment	9
text categorization	9
aspect based sentiment analysis	9
unsupervised domain adaptation	8
creation	8
stance detection	8
weak supervision	8
natural language inference	8
generative models	8
spoken language understanding	8
memory-based learning	8
self-training	8
grammar induction	8
the detection	8
bootstrapping	8
human evaluation	8
content selection	8
a measure	8
an annotation scheme	8
bayesian learning	8
empirical methods	8
syntactic parsing	8
spelling correction	8
abstractive summarization	8
inter-annotator agreement	8
composition	8
machine learning techniques	8
alignment	8
random walks	8
a hybrid model	8
the production	8
genetic algorithms	8
shallow parsing	8
automated scoring	8
the extraction	8
statistical models	8
the recognition	8
error analysis	8
a latent variable model	8
a novel approach	8
tagging	8
demonstration	8
knowledge distillation	8
analogy	8
automatic recognition	8
semantic frames	8
a supervised approach	7
sarcasm detection	7
response generation	7
automatic post-editing	7
improving neural machine translation	7
unsupervised relation extraction	7
a multi-task approach	7
cross-lingual dependency parsing	7
incremental construction	7
fine-grained sentiment analysis	7
improvement	7
rapid development	7
contextual emotion detection	7
a constraint-based approach	7
machine learning methods	7
comparative evaluation	7
ensemble methods	7
sequence-to-sequence models	7
computational analysis	7
an ensemble approach	7
normalization	7
a semi-supervised approach	7
computational linguistics	7
an unsupervised approach	7
automatic summarization	7
an empirical analysis	7
transition-based parsing	7
lexical disambiguation	7
supervised machine learning	7
modeling	7
a computational analysis	7
keyphrase extraction	7
product reviews	7
sentence boundary detection	7
automatic analysis	7
an analysis	7
biomedical event extraction	7
exploration	7
a model	7
supertagging	7
vector space models	7
maximum entropy	7
discriminative learning	7
minimal supervision	7
text generation	7
latent variable models	7
automated essay scoring	7
discriminative reranking	7
sentence simplification	7
question generation	7
sentence ordering	7
a knowledge-based approach	7
a combination	7
muc-3 test results and analysis	7
ensemble learning	7
text simplification	7
an approach	7
chart parsing	6
annotation and classification	6
structured prediction	6
machine translation evaluation	6
compositional semantics	6
comparative analysis	6
a connectionist model	6
the organization	6
language generation	6
automatic labeling	6
unification	6
semantic role labelling	6
sentence generation	6
automatic learning	6
matrix factorization	6
distributional semantic models	6
a neural approach	6
fact checking	6
lexical acquisition	6
a discriminative model	6
