element	occurrence frequency
statistical machine translation	267
machine translation	266
neural machine translation	193
natural language processing	122
sentiment analysis	99
information extraction	85
question answering	85
word sense disambiguation	82
coreference resolution	76
named entity recognition	74
text classification	61
relation extraction	60
dependency parsing	57
chinese word segmentation	51
natural language generation	49
information retrieval	40
semantic role labeling	37
spoken dialogue systems	36
domain adaptation	34
sentiment classification	34
multi-document summarization	33
speech recognition	33
nlp	33
community question answering	33
smt	31
grammatical error correction	30
parsing	29
machine translation evaluation	29
semantic textual similarity	29
text generation	29
phrase-based statistical machine translation	28
natural language inference	27
word alignment	27
referring expressions	27
language modeling	27
spoken language understanding	26
semantic parsing	26
computational linguistics	24
natural language understanding	24
aspect-based sentiment analysis	24
language learning	23
native language identification	23
sequence labeling	23
reading comprehension	21
cross-language information retrieval	21
abstractive summarization	20
translation	20
low-resource languages	19
morphology	19
text categorization	19
recognizing textual entailment	18
dialogue systems	18
machine reading comprehension	18
part-of-speech tagging	18
opinion mining	18
distributional semantics	17
the biomedical domain	17
learning	17
mt	16
open information extraction	16
answer selection	16
anaphora resolution	15
aspect based sentiment analysis	15
mt evaluation	14
event extraction	14
visual question answering	14
sentence compression	14
morphological analysis	14
language generation	13
document classification	13
negation	13
phrase-based machine translation	13
emotion recognition	13
textual entailment	13
syntax	13
continuous speech recognition	13
text simplification	13
summarization	12
evaluation	12
bilingual lexicon extraction	12
text summarization	12
entity linking	12
hierarchical phrase-based translation	12
automatic speech recognition	12
prepositional phrase attachment	12
meaning	11
spoken dialog systems	11
word segmentation	11
lexical semantics	11
speech translation	11
dialogue generation	11
authorship attribution	11
simultaneous translation	11
conversation	11
low-resource neural machine translation	11
extractive summarization	11
the medical domain	11
implicit discourse relation recognition	10
text mining	10
twitter sentiment analysis	10
machine translation quality estimation	10
implicit discourse relation classification	10
wmt 2010	10
pronoun resolution	10
generation	10
keyphrase extraction	10
paraphrase generation	10
annotation	10
sentence classification	10
cross-domain sentiment classification	10
semantic annotation	10
disambiguation	10
relation classification	10
nlp applications	10
language identification	10
sarcasm detection	9
translation quality estimation	9
quality estimation	9
question answering systems	9
referring expression generation	9
tree adjoining grammars	9
grammar induction	9
machine comprehension	9
compositional distributional semantics	9
machine transliteration	9
data-to-text generation	9
language resources	9
automatic summarization	9
neural semantic parsing	9
english machine translation	9
pos tagging	9
wsd	9
discriminating similar languages	9
example-based machine translation	9
multilingual neural machine translation	9
low resource languages	9
language learners	9
robust speech recognition	9
semantic interpretation	8
nested named entity recognition	8
irony detection	8
named entity disambiguation	8
commonsense reasoning	8
transliteration	8
document retrieval	8
open-domain question answering	8
wmt18	8
biomedical event extraction	8
neural relation extraction	8
distantly supervised relation extraction	8
text understanding	8
suggestion mining	8
linguistic research	8
knowledge base population	8
transfer learning	8
dialogue state tracking	8
discourse parsing	8
unsupervised discovery	8
language acquisition	8
discovery	8
semantics	7
metaphor detection	7
task-oriented dialogue systems	7
automatic post-editing	7
cross-lingual pronoun prediction	7
terminology	7
cross-lingual information retrieval	7
corpus annotation	7
evaluating the use	7
translation memories	7
topic segmentation	7
bert	7
semantic composition	7
syntax-based machine translation	7
dialogue management	7
cross-lingual textual entailment	7
code-switching	7
phrase-based translation	7
automatic discovery	7
shallow discourse parsing	7
text normalization	7
bionlp shared task 2011	7
wmt 2011	7
linguistics	7
chinese spelling check	7
dialog state tracking	7
offensive language detection	7
covid-19	7
speech synthesis	7
dialogue act classification	7
adaptation	7
temporal relation extraction	7
spoken language translation	7
paraphrase identification	7
the choice	7
word meaning	7
event detection	7
textual similarity	7
knowledge base completion	7
distributional similarity	7
semantic similarity	7
speech recognition and understanding	7
chinese named entity recognition	7
the financial domain	6
computational phonology	6
machine translation systems	6
reading	6
semantic relation extraction	6
training data	6
task-oriented dialogue	6
multimodal machine translation	6
fake news detection	6
biomedical named entity recognition	6
the shared task	6
mt systems	6
social media	6
nlg	6
multilingual dependency parsing	6
disfluency detection	6
subtitling	6
aspect-level sentiment classification	6
centering	6
question retrieval	6
spelling correction	6
knowledge extraction	6
tag	6
phonology	6
lexical entailment	6
language technology	6
information structure	6
applied natural language processing	6
shallow parsing	6
textual entailment recognition	6
answering complex questions	6
new domains	6
hate speech detection	6
phrase-based smt	6
complex word identification	6
grammar engineering	6
sentence simplification	6
automatic evaluation	6
interactive machine translation	6
question generation	6
stance classification	6
unsupervised dependency parsing	6
multiple languages	5
generating referring expressions	5
humor recognition	5
response generation	5
amr parsing	5
structured prediction	5
document summarization	5
text retrieval	5
agglutinative languages	5
timeline summarization	5
under-resourced languages	5
word embeddings	5
fine-grained sentiment analysis	5
sequence tagging	5
ellipsis resolution	5
speech-to-speech translation	5
