20th century
text	17
discourse	17
texts	11
language	11
corpora	10
tree adjoining grammars	9
bilingual corpora	9
dialogues	9
speech	8
typed feature structures	8
natural language access	8
japanese sentences	7
databases	7
very large corpora	7
words	7
spontaneous speech	7
semantic information	6
verbs	6
natural language interfaces	6
sentences	6
prosodic information	6
context	6
commentary	6
parallel texts	6
montague grammar	5
large text corpora	5
categorial grammar	5
dictionary definitions	5
tags	5
problems	5
constraints	5
vp ellipsis	5
the lexicon	5
descriptions	5
finite state transducers	5
parallel corpora	5
recent progress	5
examples	5
unrestricted texts	4
semantic primitives	4
rhetorical relations	4
some problems	4
lexical knowledge	4
agglutinative languages	4
dictionaries	4
unrestricted text	4
lexical information	4
large corpora	4
trees	4
reference	4


21st century
twitter	204
text	156
social media	132
the web	115
wikipedia	98
tweets	95
comparable corpora	77
context	68
dialogue	54
corpora	51
words	48
texts	44
parallel corpora	42
multiword expressions	39
challenges	38
findings	34
biomedical text	29
discourse	29
universal dependencies	29
language	27
clinical text	27
semantic relations	26
a corpus	26
biomedical texts	25
speech	24
microblogs	24
semantic roles	23
scientific papers	23
the context	23
language resources	22
verbs	22
news articles	21
events	21
biomedical literature	21
conversations	21
multiple languages	20
clinical notes	20
evidence	20
named entities	20
features	20
sentences	20
linguistic features	19
low-resource languages	19
effects	19
languages	18
dialogues	18
squibs	18
lexical resources	18
news	17
twitter data	17
