element	occurrence frequency
word embeddings	77
neural networks	63
conditional random fields	51
convolutional neural networks	41
nlp	33
smt	32
spoken dialogue systems	32
recurrent neural networks	29
support vector machines	26
bert	25
wordnet	23
deep neural networks	20
use	16
tools	16
dialogue systems	16
a tool	13
framenet	13
ccg	12
transformers	12
mt	12
applications	12
a framework	10
a spoken dialogue system	10
word embedding	10
hpsg	10
recurrent neural network	9
an application	9
application	9
a machine translation system	9
social networks	9
a toolkit	9
a unified framework	8
convolutional neural network	8
a dialogue system	8
nlg	8
wsd	8
dialog systems	8
tag	8
a morphological analyzer	8
graph convolutional networks	7
referential translation machines	7
mapreduce	7
semantic networks	7
lstms	7
natural language interfaces	7
ltag	7
virtual environments	7
phrase-based smt	6
neural architectures	6
dependency parsers	6
a spoken dialog system	6
a convolutional neural network	6
a question answering system	6
long short-term memory	6
sentence embeddings	6
cross-lingual word embeddings	6
embeddings	6
a dependency parser	6
neural network	6
a hybrid system	6
conditional random field	5
hierarchical phrase-based smt	5
grammatical framework	5
linear context-free rewriting systems	5
bilingual word embeddings	5
structured perceptron	5
contextualized word embeddings	5
an api	5
cuni system	5
wordnets	5
deep recurrent neural networks	5
a system	5
a statistical parser	4
neural word embeddings	4
chinese ner	4
pointer networks	4
the rwth aachen machine translation system	4
dependency parser	4
transformer	4
knowledge graph embedding	4
hierarchical attention networks	4
bidirectional lstm	4
nmt	4
an open source toolkit	4
a development environment	4
a general framework	4
ir	4
an evaluation framework	4
software	4
spoken dialog systems	4
a virtual patient dialogue system	4
lstm	4
deep learning architecture	4
a neural architecture	4
crfs	4
a parser	4
spoken dialogue system	4
joint embedding	4
svm	4
support vector machine	4
a grammar checker	4
an annotation tool	3
multimodal conversational systems	3
bayesian networks	3
verbnet	3
two sessions of tinlap-2	3
top	3
crf	3
lda	3
conversational systems	3
a dialog system	3
an open-source framework	3
natural language generation systems	3
a rule-based parser	3
drt	3
graph neural networks	3
an efficient implementation	3
stag	3
multiple machine translation systems	3
conversational agents	3
uima	3
ntou chinese spelling check system	3
a natural language interface	3
end	3
a strong baseline	3
a spoken language interface	3
a software toolkit	3
sense embeddings	3
attention-based convolutional neural network	3
elan	3
the rwth system combination system	3
a morphological parser	3
long short-term memory networks	3
a crowdsourced lexical-semantic network	3
an integrated framework	3
gf	3
loria system	3
deep convolutional neural networks	3
graph convolutional network	3
a search tool	3
deep belief networks	3
ontolex-lemon	3
an intelligent tutoring system	3
nooj	3
svms	3
an end-to-end system	3
xml	3
pdt	3
a neural network	3
character level convolutional neural network	3
hindi wordnet	3
ppm	3
the internet	3
end-to-end memory networks	3
deep memory network	3
a conceptual framework	3
how	3
a modular architecture	3
the jhu machine translation systems	3
an unsupervised system	3
the lingo grammar matrix	3
a speech translation system	3
text-to-sql	3
aid	3
a multimodal dialogue system	3
amr	3
sketch engine	3
contextualized embeddings	3
community qa	3
nlp applications	3
smt systems	3
a computational framework	3
a maximum entropy classifier	3
spoken language systems	3
xmu neural machine translation systems	3
diachronic word embeddings	3
bidirectional recurrent neural networks	3
task-oriented conversational agents	3
classifiers	3
a web application	3
recursive neural networks	3
dbpedia	3
an hmm approach	2
tei	2
a web search engine	2
a maximum entropy framework	2
markov random fields	2
topological fields	2
dynamic bayesian networks	2
siamese recurrent networks	2
the lexical markup framework	2
dual attention networks	2
burst information networks	2
nlp tools	2
an open-source toolkit	2
sanskrit wordnet	2
a machine translation environment	2
a semi-immersive command and control environment	2
multi-class discrimination and some linguistic applications	2
software applications	2
a structure-sharing parser	2
educational applications	2
multilingual sentence embeddings	2
language independent ner	2
software tools	2
the pronominal system	2
an aac system	2
the rwth aachen german-english machine translation system	2
roberta	2
a pointer network architecture	2
cyc	2
an interface	2
multi-source transformer	2
example-based mt	2
a pos tagger	2
the syntax-semantics interface	2
hierarchical recurrent neural network	2
multi-space variational encoder-decoders	2
computer	2
an online framework	2
a beam-search decoder	2
a bidirectional lstm	2
bidirectional transformers	2
real applications	2
incorporating lexicon knowledge into svm learning	2
natural language processing systems	2
crf autoencoders	2
the upv-prhlt combination system	2
memory-augmented neural networks	2
gpsg	2
a web-based spoken dialogue agent	2
hierarchical smt	2
semantic parsers	2
a museum environment	2
mdl	2
a natural language understanding system	2
ucsynlp-lab machine translation systems	2
korap	2
the dop model	2
finite-state machines	2
american sign language (asl)	2
internet	2
an integrated system	2
a phonological interface	2
plwordnet	2
interpretable word embeddings	2
a flexible architecture	2
a real-time spoken-language system	2
neural machine translation system	2
task-oriented dialogue systems	2
himl (health	2
sonlp-dp system	2
covid-19	2
morphological analyzer	2
long short term memory networks	2
a tutorial dialogue system	2
computers	2
english-hindi mt	2
bi-lstms	2
named entity recognition system	2
retrieval-based dialogue systems	2
babelnet	2
a chinese named entity recognizer	2
the ui system	2
nlp-based information retrieval	2
esl	2
a conceptual frame and its application	2
a connectionist architecture	2
neural nlg	2
improve chinese input system	2
new tools	2
a teacher-student framework	2
a speech understanding system	2
distantly supervised ner	2
generative adversarial networks	2
a graphical interface	2
a web-based tool	2
quest++	2
vision-language interface	2
community question answering systems	2
a phrase-based statistical machine translation system	2
a data-to-speech system	2
the em algorithm	2
sumo	2
sls program	2
multilingual nmt	2
feature embeddings	2
a constraint-based implementation	2
the transformer architecture	2
a factoid question answering system	2
data-to-text systems	2
an interactive system	2
hierarchical attention network	2
adaboost	2
an on-line system	2
capsule network	2
go	2
a deep learning system	2
machine translation systems	2
gate	2
long short-term memory neural networks	2
it	2
a lfg-parser	2
semantic role labeling systems	2
l2	2
a reductionistic parser	2
finite state machines	2
wet lab protocols	2
a meta-bilstm model over context sensitive token encodings	2
a deep architecture	2
a multi-neuro tagger	2
a test suite	2
bi-directional lstm	2
theory and implementation	2
np alignment	2
architectures	2
piecewise convolutional neural networks	2
accurat	2
adversarial neural networks	2
ulmfit	2
a generalized framework	2
an open-domain question answering system	2
sentiment analyzer	2
neural machine translation architectures	2
chat-oriented dialogue systems	2
a text input front-end processor	2
ucca	2
resources and tools	2
a markov-logic network	2
task-oriented dialogue system	2
open-domain dialogue systems	2
a spoken dialogue agent	2
goal-oriented dialogue systems	2
cuni nmt system	2
pubmed	2
xmg	2
a test environment	2
acl-2000 workshop	2
deep architectures	2
a wordnet based e-learning tool	2
machine aided error-correction environment	2
meta-share	2
a guided composition system	2
hmm-based word alignment	2
the natural language toolkit	2
an english-chinese machine translation system	2
gated recursive neural network	2
a decoder	2
a transition-based dependency parser	2
bidirectional lstms	2
a probabilistic chart parser	2
a network	2
microphone-array systems	2
a simple hybrid aligner	2
the core language engine	2
multi-task deep neural networks	2
an example-based machine translation system	2
chinese wordnet	2
a novel neural network architecture	2
a cross-lingual environment	2
attentive recurrent neural networks	2
nlp systems	2
better word embeddings	2
bidirectional long short-term memory networks	2
a flexible framework	2
hlt	2
natural language interface	2
english machine translation system	2
multilingual bert	2
a prototype system	2
multi-sense word embeddings	2
princeton wordnet	2
senseval-3	2
senseval-2	2
japanese text input system	2
lstm-based dependency parsing	2
text classifiers	2
lattice lstm	2
recursive neural network	2
an extensible framework	2
capsule networks	2
latent structural svm	2
a new implementation	2
pointer-generator networks	2
dialog system	2
a multilayer perceptron	2
probabilistic linear context-free rewriting systems	2
a flexible pragmatics-driven language generator	2
an operations environment	2
tree conditional random fields	2
sub-word embeddings	2
a common framework	2
the mwetoolkit	2
pre-trained transformers	2
the request system	2
a conditional random field framework	2
bidirectional lstm-crf	2
maximum entropy classifier	2
bounded memory	2
an integrated architecture	2
a probabilistic framework	2
linked wordnets	2
a semantic network	2
recurrent convolutional neural networks	2
a natural language system	2
domain adapted word embeddings	2
humans and machines	2
limited memory	2
document embeddings	2
an adversarial learning framework	2
the excitement open platform	2
c++	2
an online platform	2
the kit-limsi translation system	2
a cascaded finite-state parser	2
pivot-based smt	2
promt systems	2
ale	2
natural language understanding systems	2
statistical nlg	2
multimodal transformer	2
a text generation system	2
dialect mt	2
a graphical framework	2
bmm-based chinese word segmentor	2
lstm language models	2
a graphical tool	2
spoken language program	2
tectomt	2
deep lstm	2
sheffield systems	2
a flexible distributed architecture	2
multiple classifiers	2
a sentiment analyzer	2
germanet	2
different word embeddings	2
a graphical user interface	2
graph embeddings	2
bag	2
deep neural network	2
large scale collocation data and their application	2
an alternative lr algorithm	2
buckwalter-based lookup tool	2
spoken dialog system	2
design and implementation	2
guidelines and framework	2
a multi-task learning framework	2
a dp based search algorithm	2
shared memory parallel machines	2
transition-based parser	2
a transition-based system	2
an annotation framework	2
end-to-end neural networks	2
a transition-based parser	2
a multilingual mt system	2
upm system	2
the mercury flight reservation system	2
prefix-to-prefix framework	2
weakly supervised attention networks	2
tutorial applications	2
stack-lstms	2
construct a practical parser	2
the palavras parser	1
dynamic programming and pos tag lattice	1
tdt	1
an smt-solver	1
mdl principle	1
siamese convolutional networks	1
