Machine Translation	104
Sentiment Analysis	81
Named Entity Recognition	71
Domain Adaptation	68
Dependency Parsing	57
Neural Machine Translation	54
Unsupervised Learning	48
Active Learning	48
Deep Learning	48
Question Answering	46
Parsing	46
Automatic Extraction	42
Transfer Learning	42
Semantic Role Labeling	41
Natural Language Processing	39
Reinforcement Learning	38
Automatic Acquisition	38
Semantic Parsing	37
Machine Learning	34
Coreference Resolution	34
Automatic Generation	34
Part-of-Speech Tagging	33
Distant Supervision	30
Multi-Task Learning	26
Chinese Word Segmentation	26
Language Modeling	23
Crowdsourcing	23
Joint Learning	22
Language Models	22
Natural Language Generation	22
Semi-Supervised Learning	21
Morphological Analysis	21
Recognition	21
Text Classification	19
Word Alignment	19
Anaphora Resolution	19
Automatic Construction	19
Grammatical Error Correction	18
Entity Linking	18
Unsupervised Induction	17
Sentiment Classification	17
Semantic Annotation	17
Quality Estimation	17
Topic Models	17
Adversarial Training	17
Deep Reinforcement Learning	16
Joint Inference	16
Semantics	16
Summarization	16
Attention	15
Authorship Attribution	15
Multi-task Learning	15
Native Language Identification	15
Distributional Semantics	15
Multi-Document Summarization	15
An Investigation	14
Data Augmentation	14
Supervised Learning	14
Text Segmentation	14
A Statistical Approach	14
Textual Entailment	14
A Bayesian Model	14
Sequence Labeling	13
Probabilistic Models	13
Markov Logic	13
Abstract Meaning Representation	13
POS Tagging	13
Word Sense Induction	13
Extractive Summarization	13
Event Detection	12
Dialogue Management	12
Information Retrieval	12
Joint Modeling	12
Complex Word Identification	12
Word Segmentation	12
Integer Linear Programming	12
Automatic Translation	11
Query Expansion	11
Neural Models	11
Continuous Speech Recognition	11
Topic Modeling	11
Online Learning	11
Latent Semantic Analysis	10
Transliteration	10
Metaphor Detection	10
Sentence Compression	10
Natural Language Inference	10
Paraphrasing	10
A Generative Model	10
Relation Classification	10
Models	10
Neural Language Models	10
Hyperpartisan News Detection	10
Automatic Classification	10
Improving Statistical Machine Translation	10
Searching	10
AMR Parsing	10
Abstractive Summarization	10
An Unsupervised Approach	9
Aspect Based Sentiment Analysis	9
A Maximum Entropy Approach	9
Efficient Parsing	9
An Empirical Evaluation	9
Unsupervised Domain Adaptation	9
Human Evaluation	9
Automated Scoring	9
Automatic Prediction	9
Emotion Detection	9
Semantic Classification	9
Machine Comprehension	9
Improving Word Alignment	9
Text Generation	9
Document Classification	9
Incremental Parsing	9
Segmentation	9
Bootstrapping	9
Automatic Annotation	9
Semantic Tagging	9
Genetic Algorithms	8
Spoken Language Understanding	8
