Statistical Machine Translation	272
Machine Translation	269
Neural Machine Translation	210
Natural Language Processing	128
Sentiment Analysis	99
Question Answering	87
Word Sense Disambiguation	87
Information Extraction	85
Coreference Resolution	80
Named Entity Recognition	78
Text Classification	65
Relation Extraction	62
Dependency Parsing	59
Chinese Word Segmentation	52
Natural Language Generation	52
Information Retrieval	42
Semantic Role Labeling	38
Community Question Answering	37
Speech Recognition	36
Sentiment Classification	36
Domain Adaptation	34
SMT	32
Text Generation	32
Semantic Textual Similarity	32
Multi-Document Summarization	31
Natural Language Inference	30
Machine Translation Evaluation	30
Grammatical Error Correction	30
Parsing	29
Semantic Parsing	28
Word Alignment	28
Spoken Language Understanding	27
Computational Linguistics	27
Natural Language Understanding	27
Sequence Labeling	26
Language Modeling	25
Text Categorization	23
Native Language Identification	23
Abstractive Summarization	22
Reading Comprehension	21
machine translation	21
MT	20
Phrase-Based Statistical Machine Translation	19
Open Information Extraction	19
Machine Reading Comprehension	19
Language Learning	18
Translation	18
Recognizing Textual Entailment	16
Cross-Language Information Retrieval	16
Answer Selection	16
Part-of-Speech Tagging	16
Aspect-Based Sentiment Analysis	16
Opinion Mining	16
Sentence Compression	15
Aspect Based Sentiment Analysis	15
Visual Question Answering	15
Text Simplification	15
the Medical Domain	14
MUC-4	14
Summarization	14
Continuous Speech Recognition	13
Language Generation	13
Document Classification	13
Text Summarization	13
Prepositional Phrase Attachment	13
Bilingual Lexicon Extraction	13
MUC-3	13
MT Evaluation	13
Morphological Analysis	13
Emotion Recognition	12
Automatic Speech Recognition	12
Anaphora Resolution	12
Textual Entailment	12
Lexical Semantics	12
Entity Linking	12
Event Extraction	12
Sentence Classification	12
Text Mining	11
WSD	11
Relation Classification	11
Low-Resource Neural Machine Translation	11
Language Identification	11
Simultaneous Translation	11
Extractive Summarization	11
Word Segmentation	11
Authorship Attribution	11
MUC-5	11
Pronoun Resolution	11
Dialogue Generation	11
Semantic Annotation	10
sentiment analysis	10
Aspect-based Sentiment Analysis	10
WMT 2010	10
statistical machine translation	10
Question Answering Systems	10
Quality Estimation	10
Chinese Spelling Check	10
Semantic Interpretation	10
Keyphrase Extraction	10
Implicit Discourse Relation Classification	10
Twitter Sentiment Analysis	10
MUC-6	10
Paraphrase Generation	10
Machine Comprehension	10
Multilingual Neural Machine Translation	9
Sarcasm Detection	9
Dialogue Management	9
WMT 2011	9
Phrase-based Statistical Machine Translation	9
Discriminating Similar Languages	9
Machine Translation Quality Estimation	9
English Machine Translation	9
Open-Domain Question Answering	9
Spoken Dialog Systems	9
Implicit Discourse Relation Recognition	9
Negation	9
Automatic Summarization	9
Machine Transliteration	9
Grammar Induction	9
Tree Adjoining Grammars	9
Chinese Named Entity Recognition	9
Knowledge Base Completion	9
Semantic Composition	9
Unsupervised Discovery	9
Robust Speech Recognition	9
WMT18	9
Knowledge Base Population	8
Discourse Parsing	8
BioNLP Shared Task 2011	8
Automatic Post-Editing	8
Disambiguation	8
Distantly Supervised Relation Extraction	8
Shallow Discourse Parsing	8
Neural Relation Extraction	8
Cross-Lingual Information Retrieval	8
Discovery	8
Semantic Similarity	8
Text Understanding	8
Transliteration	8
Named Entity Disambiguation	8
Transfer Learning	8
Irony Detection	8
Language Learners	8
Example-Based Machine Translation	8
Commonsense Reasoning	8
Neural Semantic Parsing	8
Speech Translation	8
NLG	8
Translation Quality Estimation	8
Dialogue State Tracking	8
Nested Named Entity Recognition	8
Text Normalization	7
Compositional Distributional Semantics	7
Topic Segmentation	7
Semantic Representation	7
Textual Similarity	7
Lexical Entailment	7
Sequence-to-Sequence Learning	7
Spelling Correction	7
Event Coreference Resolution	7
the Shared Task	7
Temporal Relation Extraction	7
Hate Speech Detection	7
Suggestion Mining	7
Fake News Detection	7
Phrase-Based Machine Translation	7
Speech Recognition and Understanding	7
MUC-7	7
Dialogue Act Classification	7
Grammar Engineering	7
Paraphrase Identification	7
Document Retrieval	7
WMT19	7
Metaphor Detection	7
POS Tagging	7
Cross-Domain Sentiment Classification	7
Syntax-Based Machine Translation	6
Semantic Relation Extraction	6
Computational Phonology	6
Automatic Discovery	6
Offensive Language Detection	6
Disfluency Detection	6
Task-Oriented Dialogue	6
Data-to-Text Generation	6
Event Detection	6
Machine Translation Systems	6
Linguistic Annotation	6
Word Embeddings	6
Structured Prediction	6
Bilingual Lexicon Induction	6
Knowledge Extraction	6
Document Summarization	6
Multilingual Dependency Parsing	6
Sentence Simplification	6
Code-Switching	6
Word Sense Discrimination	6
Morphological Reinflection	6
Applied Natural Language Processing	6
Phrase-based Machine Translation	6
language learning	6
Ontology Population	6
Biomedical Event Extraction	6
Hierarchical Phrase-based Translation	6
Morphologically Rich Languages	6
Image Captioning	6
Syntactic Parsing	6
Answering Complex Questions	6
Hierarchical Phrase-Based Translation	6
Textual Entailment Recognition	6
Measuring Semantic Similarity	6
Story Generation	6
Human Sentence Processing	6
Statistical Parsing	6
Multimodal Machine Translation	6
Opinion Summarization	6
Arabic Dialect Identification	6
Biomedical Relation Extraction	6
Multi-document Summarization	6
Question Retrieval	6
Language Acquisition	6
Neural Response Generation	6
ASR	6
Improve Sentiment Classification	5
Knowledge Graph Embedding	5
Terminology Extraction	5
distributional semantics	5
Grammatical Error Detection	5
BioNLP Shared Task 2013	5
Text Retrieval	5
Knowledge Base Question Answering	5
Social Media	5
Biomedical Named Entity Recognition	5
Entity Extraction	5
Syntax-based Statistical Machine Translation	5
information extraction	5
Dialog State Tracking	5
WMT 2018	5
WMT 2015	5
Lexical Simplification	5
Non-Autoregressive Neural Machine Translation	5
Generating Referring Expressions	5
Bilingual Terminology Extraction	5
Correcting Errors	5
Multilingual Coreference Resolution	5
Natural Language Learning	5
Cross-Lingual Pronoun Prediction	5
Spoken Language Translation	5
Complex Word Identification	5
Clinical TempEval	5
Argument Mining	5
Question Classification	5
Query Expansion	5
Question Generation	5
Second Language Acquisition	5
Parsing and Generation	5
Knowledge Graph Completion	5
Humor Recognition	5
Terminology	5
Name Tagging	5
Discourse Representation Theory	5
Phonology	5
Contextual Emotion Detection	5
Topic Modeling	5
Question-Answering	5
Timeline Summarization	5
Unsupervised Machine Translation	5
Language Engineering	5
Sequence Tagging	5
Neural Dialogue Generation	5
question answering	5
Speech-to-Speech Translation	5
anaphora resolution	5
Shallow Parsing	5
Aspect Extraction	5
Evaluating Word Embeddings	5
Chinese Semantic Role Labeling	5
Stance Classification	5
Semantic Relation Classification	5
Simultaneous Machine Translation	5
Hypernym Discovery	5
CogALex-V Shared Task	5
Chinese Word Sense Disambiguation	5
Letter-to-Phoneme Conversion	5
Spelling Errors	5
Hybrid Machine Translation	5
Sentence Similarity	5
Universal Dependency Parsing	5
Response Generation	5
Unsupervised Dependency Parsing	5
TermEval 2020	4
morphology	4
Hindi Dependency Parsing	4
Argumentation Mining	4
