Sentiment Analysis	14
Word Embeddings	13
WordNet	11
Conditional Random Fields	10
ECNU	10
ACL Lifetime Achievement Award	9
Active Learning	9
Language Technology	9
Machine Translation	9
BERT	8
Features	8
Recurrent Neural Networks	8
Generating Text	8
NLP	7
Building a Corpus	7
Temporal Information Extraction	7
Word Sense Disambiguation	7
Evaluation Metrics	7
Extracting Information	7
UMCC\_DLSI	6
Detecting Errors	6
Named Entity Recognition	5
Sentiment Classification	5
SMT	5
Detecting Stance	5
Domain Adaptation	5
Embeddings	5
Generating Referring Expressions	5
Semantic Similarity	5
Mining the Web	5
Unsupervised Discovery	5
Learning Word Embeddings	5
Metaphor	4
Learning-to-Translate	4
Aligning Sentences	4
Data Augmentation	4
An Unsupervised Approach	4
Annotating Discourse Connectives	4
FBK	4
Reinforcement Learning	4
Letter	4
Coherence	4
Multi-level Search Algorithms	4
Question Answering	4
Open Information Extraction	4
Neural Machine Translation	4
Transformers	4
Detecting Hate Speech	4
Semantic Change	4
Semantic Role Labeling	4
Spoken Language Recognition and Understanding	4
Sentence Embeddings	4
Generating Sentences	4
Automatic Discovery	4
IITP	4
Prosody	4
Identifying and Categorizing Offensive Language	4
NIST-DARPA Interagency Agreement	4
Answering Questions	4
Parsing	4
An Annotated Corpus	4
Capturing Discriminative Attributes	4
Generating Image Descriptions	4
Decision Trees	4
SINAI	4
BART	4
Reasoning	3
CLARIN	3
VERTa	3
CRF	3
Machine Learning	3
A Large-Scale Dataset	3
Annotating a Corpus	3
Aspect Based Sentiment Analysis	3
Language Modeling	3
SystemT	3
Senseval-3	3
The Natural Language Toolkit	3
Semantic Textual Similarity	3
CRACKER	3
HITIQA	3
FBK-HLT	3
the PLUM System	3
NLTK	3
Text Categorization	3
Babel	3
Designing a Speech Corpus	3
NAACL-ANLP 2000 Workshop	3
Adapting SimpleNLG	3
AIDA	3
Twitter Users	3
Commonsense Knowledge	3
Diderot	3
Stance Classification	3
HITSZ-ICRC	3
A Sentiment Analyzer	3
SZTE-NLP	3
Out	3
Extracting Temporal Information	3
NTNU	3
Classifying Temporal Relations	3
An Open-Source Toolkit	3
Morphological Analysis	3
POS Tagging	3
Lexical Resources	3
ECNUCS	3
Structural Ambiguity and Lexical Relations	3
McDonnell Douglas Electronic Systems Company	3
Discourse Markers	3
Mitigating Gender Bias	3
Coreference Resolution	3
TACITUS	3
Squib	3
MindNet	3
USC	3
UTD	3
The Text REtrieval Conferences (TRECs)	3
Language Models	3
Robust Speech Recognition Technology Program Summary	3
Translation Quality	3
LIMSI	3
Predicting Success	3
Inforex	3
Robust Continuous Speech Recognition Technology Program Summary	3
Lexical Choice	3
Word Representations	3
A Lexical Database	3
Extracting Protein-Protein Interactions	3
Lexical choice	3
Dynamic Routing	3
Tree Kernels	3
Universal Dependencies	3
ANLP-NAACL 2000 Workshop	3
Linguistic Resources	3
Speech Translation	3
Natural Language Knowledge Representation and Discourse	3
Natural Language Generation	3
Part-of-Speech Tagging	3
Translation	3
Generating Natural Language Descriptions	3
Commonsense Metaphysics and Lexical Semantics	3
Retrieving Collocations	3
FrameNet	3
Exploiting Syntactic Structure	3
Language Resources	3
Discriminating between Similar Languages	3
Answering Definition Questions	3
Semantic Networks	3
The DCU MT System	3
Classifying Semantic Relations	2
String Similarity Measures	2
A Visual Platform	2
Temporal Expressions	2
An Estimate of Referent	2
Temporal Relation Classification	2
Detecting Emotions	2
A Natural Language Interface	2
general design dialogue structure potential role	2
A Corpus-Based Study	2
ItalWordNet	2
Extending Event Detection	2
Mechanical Turk	2
Convolution Kernels	2
CAT	2
PORTAGE	2
CCG	2
A Simple Rule-Based Part-of-Speech Tagger	2
Generating Classical Chinese Poems	2
Representing Verbs	2
A Template-Based Generator	2
Compacting the Penn Treebank Grammar	2
Parsing Linear Context-Free Rewriting Systems	2
Developing Language Resources	2
Semantic Roles	2
Grapheme and Phoneme	2
Identifying Syntactic Role of Antecedent	2
Analyzing the Complexity of a Domain	2
Logical Metonymy	2
Graphene	2
Annotating Named Entities	2
Amazon Mechanical Turk	2
Automatic building	2
MUC-3 Test Results and Analysis	2
Farasa	2
Generating Natural Language Summaries	2
FCC	2
Tree Adjoining Grammar	2
Deriving translation units	2
Resolving Translation Ambiguity and Target Polysemy	2
Annotation Tool	2
Tensor Decomposition	2
Characterizing and Recognizing Spoken Corrections	2
Personal MT	2
Social Networks	2
Building an Annotated Corpus	2
Temporal Relation Identification	2
An Automatic Metric for MT Evaluation	2
UNISYS	2
Modeling language constructs	2
Learning Sentiment Lexicons	2
GKR	2
OpenNMT	2
Automatic Construction of Frame Representations	2
FBK-irst	2
Automatic Identification	2
Function Words	2
Predicting Emotions	2
Extracting Entities and Relations	2
Detecting Patterns	2
The Reference Corpus	2
SCATE	2
A Machine Translation Approach	2
Argumentation	2
CASMACAT	2
Multilingual generation	2
Enriching a Valency Lexicon	2
primitives prototypes and other semantic anomalies	2
Building a SentiWordNet	2
Multi-Task Learning	2
Word Association and MI-Trigger-based Language Modeling	2
Structural Disambiguation	2
the Oki System	2
PyRATA Python Rule-based feAture sTructure Analysis	2
PAT-Trees with the Deletion Function	2
Question Similarity	2
Building Parallel Corpora	2
CLAM	2
Dialogue Strategies	2
Memory Networks	2
Automatic Evaluation	2
Exploiting Diversity	2
KCAT	2
Columbia NLP	2
Turku	2
Aligning Multilingual Word Embeddings	2
Interpreting Neural Networks	2
Analysis and Symbolic Processing	2
A Diagnostic Dataset	2
Neural Word Embeddings	2
Integrating a Large Monolingual Corpus	2
Tagging English	2
Human Judgment	2
Arabic Preprocessing Schemes	2
Voting System	2
Computing Semantic Textual Similarity	2
Learning Distributed Representations	2
Spoken Dialogue Systems	2
Long Distance Pronominalisation and Global Focus	2
Collecting Diverse Natural Language Inference Problems	2
Generating Natural Language Adversarial Examples	2
Sentence Ordering	2
langid.py	2
Domain Adaptation and Stacking	2
Generation that Exploits Corpus-Based Statistical Knowledge	2
Evaluation of Importance of Sentences	2
Recurrent Neural Network	2
GETARUNS	2
Grounding Language	2
Machine Translation vs. Dictionary Term Translation a Comparison	2
automatic correction	2
The LRC Machine Translation System	2
A Peer Learning Agent that Encourages Students	2
an Automatic and an Interactive Disambiguation Method	2
NooJ	2
Kohonen Maps of Chinese Morphological Families	2
Derivation Trees	2
A Multi-Modal Interface	2
MetaNet	2
Summaries of Contributions to the First National Conference	2
Keyword Extraction	2
Prepositional Phrase Attachment	2
Learning-to-Prune	2
Variants of Vector Space Reductions	2
BLEU	2
Praat	2
Combining Knowledge Sources	2
Hydra	2
Evaluation Dataset	2
Customizing an English-Korean Machine Translation System	2
Identifying Topic and Focus	2
Multiword Expressions	2
Speech Recognizers	2
Semantic Analysis	2
Spoken Dialogue System	2
A Finite-State Morphological Analyser	2
Generating Summaries	2
Learners	2
Kathaa	2
Recognizing Stances	2
Identifying Parallel Sentences	2
Shared Memory	2
A Graph-Based Approach	2
Training Conditional Random Fields	2
Parsing the Wall Street Journal	2
Suffix Arrays	2
Multimodal Interaction	2
A Graphical Tool	2
Okapi+QuEst	2
Learning Semantic Correspondences	2
Interaction Quality Estimation	2
Splitting Long or Ill-formed Input	2
Federated Active Linguistic data CuratiON	2
Joshua	2
Learning Semantic Representations	2
Bound Variables and Other Anaphors	2
NMT	2
Global Discourse Cohesion and Coherence	2
Smart Computer Aided Translation Environment	2
Syntactic Reordering Integrated	2
Learning-to-translate	2
Supertagging	2
Feasibility Study	2
Description Formation and Discourse Model Synthesis	2
Extracting Social Networks	2
Representing Sentences	2
bilingual information	2
Combining Heterogeneous Classifiers	2
Group Theory and Linguistic Processing	2
Predicting Semantic Similarity	2
Joint Extraction	2
The German Reference Corpus DeReKo	2
Learning Dependencies between Case Frame Slots	2
Machine Learning Algorithms	2
A Syntactically Annotated Corpus	2
a Grammatical Formalism	2
TIPSTER/MUC-5 Information Extraction System Evaluation	2
Extraction of Temporal Information	2
Deriving the Predicate-Argument Structure	2
Interactive Alignment	2
Recognizing Implicit Discourse Relations	2
SIMPLE	2
Temporal and Event Information Annotation	2
Pretrained Language Models	2
Semantic Relatedness	2
Developing Universal Dependencies	2
Self-Attention	2
Linguistic Features	2
Paraphrases	2
Unclear Points	2
An Interactive Machine-Aided Translation System	2
Mutual Information	2
Morphosyntactic Tagging	2
Translating Collocations	2
Creating a Sentiment Lexicon	2
Learning Translations	2
Creating a multilingual collocations dictionary	2
An Underspecified Segmented Discourse Representation Theory (USDRT)	2
subcategorization frames	2
Building Parallel LTAG	2
CTAP	2
the SNAP System	2
The TASX-environment	2
Hierarchical Transduction Models	2
Comparing Human and Machine Performance	2
Social Semantic Emotion Analysis	2
Parsing Chinese	2
Multext-East	2
Classifying Dialogue Acts	2
Praaline	2
Ellipsis Resolution	2
A preliminary study	2
Exploiting Lexical Resources	2
Generating Natural Language Questions	2
BBN PLUM	2
Automatic Sentence Extraction	2
Auditory Model Front Ends	2
Learning-to-Ask	2
Russian-Chinese Sentence-level Aligned News Corpus	2
METEOR	2
Aligning Articles	2
FALCON	2
Classifying Relations	2
Combining Trigram and Winnow	2
Translating New Words	2
SVM	2
GAIA	2
TAG	2
RALI	2
Judging Grammaticality	2
Semantic Annotation	2
Joint Learning	2
Generating Referential Descriptions	2
GRaSP	2
Public Opinion Toward CSSTA	2
TRWs Multi-Lingual Text Search Tool	2
Usable Real-Time Interactive Spoken Language Systems	2
Sentence Compression	2
Transformer models	2
SRI International	2
Testing	2
Debiasing Methods Cover up Systematic Gender Biases	2
Robust Text Processing and Information Retrieval	2
translation technologies	2
Anaphora Resolution	2
Propbank-Br	2
Building a Treebank	2
Use of Mutual Information Based Character Clusters	2
EmotiBlog	2
Generating Natural Language Text	2
An Open Source Framework	2
Parsing TCT	2
Referential Translation Machines	2
A Corpus-based Study	2
Smoothing Techniques	2
Discriminating Similar Languages	2
Distributional Semantics	2
LINGSTAT	2
Separating Surface Order and Syntactic Relations	2
Building a Large Annotated Corpus	2
Enhancing Transformer	2
LTAG	2
Designing a Tag-Based Statistical Math Word Problem Solver	2
ATLAS	2
Beetle II	2
Answering Clinical Questions	2
Anchoring Floating Quantifiers	2
WSD	2
Exploiting BERT	2
Learning Semantic Parsers	2
The role of artificially generated negative data	2
Machine Learning Methods	2
Question Answering System	2
A Natural Language System	2
Classification of Tweets	2
Error Driven Word Sense Disambiguation	2
Sampling Tree Fragments	2
Translating a Unification Grammar	2
Word Association Norms Mutual Information and Lexicography	2
Building a WordNet	2
News Summaries: Evaluation Results and Implications	2
Dialogue Acts	2
Translation Quality Estimation within Okapi	2
Information-Theoretic Probing	2
Bridging the Gap between Dictionary and Thesaurus	2
SPARSAR	2
The Multilingual Named Entity Recognition Framework	2
Bilingual Domain Ontology	2
Discovering Latent Structure	2
Extracting Keywords	2
Discovering Phonotactic Finite-State Automata	2
Applying NLP	2
Parsing Graphs	2
Modeling Dialogue	2
Toshiba MT System Description	2
Algorithm and Human Performance	2
Distributed Representations	2
Parsing Word Associations and Typical Predicate-Argument Relations	2
A Generative Lexicon Perspective	2
Non-Native Speakers	2
Poly-co	2
Collecting Language Resources	2
CATaLog Online	2
Word Sense Induction	2
Domain Dependent Natural Language Understanding	2
Learning Semantic Textual Similarity	2
Quality Estimation	2
Extending Word Embeddings	2
Acquisition and Annotation	2
Transfer Learning	2
Resolving Individual and Abstract Anaphora	2
Unsupervised training of maximum-entropy models	2
Learning End-to-End Goal-Oriented Dialog	2
A Multilingual Corpus	2
Reducing Complexity	2
Annotating Opinions	2
Recursive Neural Networks	2
DutchSemCor	2
Semantic Text Similarity	2
Policy Gradient	2
High Precision	2
Generating Training Data	2
Neural Language Models	2
Embedding New Information into Referring Expressions	2
Semantic Features	2
Clustering	2
Combining Lexical and Semantic-based Features	2
Predicting Psychological Health	2
Spr\aakbanken	2
Extracting Product Features and Opinions	2
A Multimodal Language Dataset	2
Annotating Information Structure	2
Metonymy	2
a Topic-Model based approach	2
